     0/999     1.65G    0.1192   0.04971   0.04403     0.213        60       640  0.001291    0.1215 0.0002368 2.828e-05    0.1161   0.03376   0.03792
     1/999     2.93G    0.1043   0.05339   0.04146    0.1992        79       640  0.003301    0.1555  0.001104 0.0002246   0.08923   0.03432   0.03355
     2/999     2.93G    0.0929   0.05318   0.03813    0.1842        52       640   0.01247   0.03289  0.006474  0.001026   0.08063   0.03507   0.03092
     3/999     2.93G   0.08693   0.05916   0.03588     0.182        65       640    0.2939   0.06075   0.02316  0.004106   0.07468   0.03557   0.02779
     4/999     2.93G   0.08074   0.05985   0.03374    0.1743        69       640    0.5732   0.08628   0.05809   0.01258      0.07   0.03381   0.02749
     5/999     2.93G   0.07469   0.05732   0.03118    0.1632        42       640    0.6284    0.1785    0.1147   0.02942   0.06166   0.03283   0.02379
     6/999     2.93G   0.06865   0.05339   0.02791    0.1499        38       640    0.9318    0.1732    0.1807   0.06828   0.05412   0.02936   0.02008
     7/999     2.93G   0.06239   0.05019   0.02698    0.1396        61       640    0.9263    0.1579    0.2094   0.06616   0.05021   0.02668   0.01831
     8/999     2.93G   0.05828   0.04666   0.02602     0.131        39       640    0.0878    0.3021    0.1198   0.02914   0.05461   0.02685   0.01961
     9/999     2.93G   0.05419   0.04612   0.02538    0.1257        61       640    0.7312    0.3401    0.3293    0.1525   0.04281   0.02171   0.01734
    10/999     2.93G   0.05078   0.04082   0.02423    0.1158        76       640    0.7134    0.3832    0.3253    0.1483   0.04024    0.0201   0.01673
    11/999     2.93G   0.05782   0.03719   0.02281    0.1178        55       640    0.7888    0.3466    0.3696    0.1131   0.05202   0.02023   0.01582
    12/999     2.93G   0.05983   0.04025   0.02182    0.1219        64       640    0.5601    0.4069    0.4511    0.2134   0.04264   0.01932   0.01535
    13/999     2.93G   0.05627    0.0357   0.02094    0.1129        45       640      0.35    0.4406    0.4727    0.2091   0.04396   0.01815   0.01427
    14/999     2.93G   0.05683   0.03726   0.02019    0.1143        73       640    0.6666    0.4563    0.5086    0.2558    0.0478   0.01743   0.01315
    15/999     2.93G    0.0562   0.03426   0.01899    0.1095        49       640    0.2391    0.6253    0.4267    0.1869   0.04432   0.01808   0.01241
    16/999     2.93G   0.05401   0.03564    0.0185    0.1082        69       640    0.9019    0.4599    0.6306    0.3414   0.03704   0.01688    0.0113
    17/999     2.93G   0.05343   0.03495   0.01796    0.1063        56       640    0.3803    0.6756    0.5612    0.2331   0.04233   0.01649   0.01099
    18/999     2.93G   0.05071    0.0329   0.01555   0.09916        61       640    0.4422    0.7901    0.7451    0.4402   0.03803   0.01593  0.009502
    19/999     2.93G   0.04867   0.03299   0.01461   0.09628        50       640    0.4973    0.7227    0.7064    0.3328   0.04193   0.01558  0.009105
    20/999     2.93G   0.04718   0.03046   0.01487   0.09251        47       640    0.5916    0.7698    0.7635    0.4102    0.0296   0.01507  0.007985
    21/999     2.93G   0.04947   0.03092   0.01262   0.09301        45       640     0.545    0.7756    0.7361    0.3668   0.04486   0.01566  0.007707
    22/999     2.93G   0.04778   0.03023   0.01222   0.09023        39       640    0.7014     0.792    0.8665    0.4753   0.03747   0.01496  0.007146
    23/999     2.93G   0.04657    0.0308   0.01098   0.08835        52       640    0.5918    0.7876    0.7707    0.3879   0.03624   0.01504  0.006592
    24/999     2.93G   0.04544   0.02921   0.01035     0.085        41       640     0.644    0.8627    0.7985    0.4201   0.03229   0.01407  0.005493
    25/999     2.93G   0.04644   0.02913  0.009623    0.0852        59       640    0.2812    0.4852    0.2707    0.1194   0.04912   0.02473    0.0268
    26/999     2.93G   0.04571   0.02896  0.008891   0.08356        72       640    0.7473    0.8965    0.8822    0.5627   0.03222   0.01372  0.004544
    27/999     2.93G   0.04279   0.02781  0.008788   0.07939        53       640    0.5593    0.8711    0.7861    0.3904   0.03535   0.01383  0.004227
    28/999     2.93G   0.04397   0.02796  0.008345   0.08027        70       640    0.8382    0.8928     0.936    0.6038   0.02718   0.01309   0.00389
    29/999     2.93G   0.04163   0.02846  0.007903     0.078        66       640    0.8775    0.8819    0.9314    0.5551   0.03245   0.01342  0.003834
