               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029417,            0.022659,            0.003536,             0.91984,              0.9369,             0.96545,             0.64274,            0.027172,              0.0126,           0.0022975,           0.0096634,           0.0096634,           0.0096634
                  36,            0.030328,            0.023965,           0.0039665,             0.74439,             0.62725,             0.69177,             0.49023,            0.029542,            0.021599,           0.0043641,           0.0096535,           0.0096535,           0.0096535
                  37,            0.029195,            0.022684,           0.0040378,             0.81832,             0.84042,             0.85811,             0.57463,             0.02617,            0.014884,           0.0022194,           0.0096436,           0.0096436,           0.0096436
                  38,            0.028937,            0.022741,           0.0036616,             0.95851,             0.94524,             0.96409,             0.72508,             0.02327,            0.012201,           0.0022438,           0.0096337,           0.0096337,           0.0096337
                  39,            0.028263,            0.023219,           0.0041101,             0.96048,             0.92789,              0.9623,             0.67789,            0.021845,            0.012455,            0.002307,           0.0096238,           0.0096238,           0.0096238
                  40,             0.02848,            0.023278,           0.0034891,             0.92227,             0.95028,             0.95731,             0.72275,            0.023011,            0.011569,           0.0020285,           0.0096139,           0.0096139,           0.0096139
                  41,            0.027639,            0.023535,           0.0032798,             0.94094,             0.95024,             0.96679,             0.70817,            0.022353,            0.011412,           0.0019407,            0.009604,            0.009604,            0.009604
                  42,            0.027801,            0.022915,           0.0036463,              0.9435,             0.89861,              0.9667,             0.74829,            0.022444,            0.011948,           0.0018609,           0.0095941,           0.0095941,           0.0095941
                  43,            0.027009,            0.022515,           0.0028881,             0.85151,             0.93302,             0.93276,             0.65614,            0.023142,            0.011728,           0.0019073,           0.0095842,           0.0095842,           0.0095842
                  44,            0.027938,            0.021707,           0.0034385,             0.91093,             0.96544,                0.96,             0.73029,            0.024353,            0.011673,           0.0019177,           0.0095743,           0.0095743,           0.0095743
                  45,            0.028117,            0.022155,           0.0033134,             0.95073,             0.96144,             0.97166,             0.69013,            0.024611,            0.011811,            0.002166,           0.0095644,           0.0095644,           0.0095644
                  46,            0.027199,            0.021538,           0.0026183,             0.94475,             0.96538,             0.96816,             0.71565,            0.021526,            0.011909,           0.0019461,           0.0095545,           0.0095545,           0.0095545
                  47,            0.027027,            0.021031,           0.0031277,              0.9544,             0.93971,             0.96621,             0.74482,            0.025255,            0.011989,           0.0018382,           0.0095446,           0.0095446,           0.0095446
                  48,            0.026606,            0.021956,           0.0033178,             0.95435,             0.93311,              0.9648,             0.72791,            0.020782,            0.012118,           0.0017731,           0.0095347,           0.0095347,           0.0095347
